source_id,source_name,source_url,source_type,confidence,usable_for,limitations
epoch_ml_hardware_2026,Epoch AI Data on Machine Learning Hardware,https://epoch.ai/data/machine-learning-hardware,dataset,A,Release dates and release-price rows for H100 SXM5 80GB and H200 SXM; CSV download at https://epoch.ai/data/ml_hardware.csv; H100 source note includes archived Delta Computer DGX listing context,"B200 and GB200 rows exist but release-price fields are blank; H200 price row has blank Source for the price field, so downstream should preserve this caveat."
semianalysis_ai_server_cost_2023,SemiAnalysis AI Server Cost Analysis: Memory Is The New Bottleneck,https://web.archive.org/web/20230529125834/https://www.semianalysis.com/p/ai-server-cost-analysis-memory-is,analyst_article,B,Early H100 DGX/server capex allocation and BOM context from May 2023 reporting cited by Epoch,Paywalled/or archived article; allocation is system-derived and may reflect bulk or hyperscaler pricing rather than public list price.
tomshardware_blackwell_pricing_2024,Tom's Hardware Blackwell superchip and rack pricing report,https://www.tomshardware.com/pc-components/gpus/nvidias-next-gen-blackwell-ai-gpus-to-cost-up-to-dollar70000-fully-equipped-servers-range-up-to-dollar3000000-report,news_article,B,"HSBC-derived B100 ASP, GB200 superchip ASP, and GB200 NVL36/NVL72 rack-scale system estimates after Blackwell announcement; supports oem_estimate and system_allocated_capex rows only","Not official NVIDIA pricing; analyst estimates only. GB200 superchip combines a Grace CPU and two B200 GPUs, so it must not be treated as standalone B200 GPU capex."
epoch_mlhardware_csv,Epoch AI Machine Learning Hardware CSV,https://epoch.ai/data/ml_hardware.csv,dataset,A,"Release dates and Release price (USD) values for P100, V100 PCIe 16GB, and A100 SXM4 40GB; release-date confirmation for T4 and A100 80GB.","Dataset includes sparse price coverage; T4 and A100 80GB rows have blank Release price (USD), so do not use Epoch alone for those price values."
microway_v100_price_analysis,Microway NVIDIA Tesla V100 Price Analysis,https://www.microway.com/hpc-tech-tips/nvidia-tesla-v100-price-analysis/,article,B,Single-unit list prices before discounts for Tesla V100 16GB/32GB and Tesla P100 PCIe/SXM2 enterprise accelerators.,"Channel-list article from a reseller/integrator; not an official NVIDIA MSRP and subject to EDU, volume, and system-integration discounts."
hardwarezone_dgx_a100,HardwareZone NVIDIA DGX A100 launch coverage,https://www.hardwarezone.com.sg/pc/components/tech-news-nvidia-dgx-a100-supercomputer-super-performance-fight-covid-19,article,B,DGX A100 system price and 8x A100 40GB system composition for system_allocated_capex rows.,"System price only; per-GPU allocation is arithmetic over 8 GPUs and includes CPU, memory, storage, networking, chassis, software/support, and NVIDIA system margin."
nextplatform_hopper_pricing,The Next Platform Hopper GPU pricing analysis,https://www.nextplatform.com/compute/2022/05/09/how-much-of-a-premium-will-nvidia-charge-for-hopper-gpus/1656701,article,B,"Historical A100 40GB/80GB enterprise channel price context, including OEM street-price/spike observations.","Retrospective pricing analysis with thin and vendor-dependent data; use as channel-list/current-at-the-time context, not launch MSRP."
techspot_may2018_gpu_pricing,TechSpot Analyzing Graphics Card Pricing May 2018,https://www.techspot.com/article/1626-gpu-pricing-q2-2018/,reputable_article,B,"Opened TechSpot article with explicit table for MSRP, April 2017, November 2017, January 2018, Current Typical May 2018, and Current Best May 2018 prices across GTX 1060 6GB, GTX 1070, GTX 1070 Ti, GTX 1080 Ti, and other GPUs.","Typical sale price table, not transaction-level microdata; January date represented as January 2018 midpoint for dataset consistency."
techspot_oct2018_gpu_pricing,TechSpot Analyzing Graphics Card Pricing October 2018,https://www.techspot.com/article/1729-graphics-card-pricing-q4-2018/,reputable_article,B,"Opened TechSpot article with explicit table for MSRP, May 2018, July 2018, and October 2018 lowest available prices for GTX 1060 6GB, GTX 1070, GTX 1070 Ti, GTX 1080 Ti, and other GPUs.",October values are lowest available Amazon or Newegg prices rather than typical sale prices; useful for stabilization/trough observations but not transaction-weighted averages.
techspot_gpu_pricing_jan2018,"TechSpot - Why Building a Gaming PC Right Now is a Bad Idea, Part 2: Insane Graphics Card Prices",https://www.techspot.com/article/1562-build-a-pc-bad-idea-gpu-pricing/,article_table,B,"Jan. 15 2018 typical US online-retailer asking prices for RX 570, RX 580 8GB, RX Vega 56, and RX Vega 64; includes MSRP and prior April/November comparison points.","TechSpot states values are average/typical asking prices from various US online retailers, not completed-sale transaction data; Vega entries marked out of stock."
techspot_rx590_crossfire_dec2018,TechSpot - AMD Radeon RX 590 Crossfire and the State of Multi-GPU Technology,https://www.techspot.com/review/1763-radeon-rx-590-crossfire/,article_review,B,"Late-2018 explicit retail/value discussion: $280 each RX 590, pair of $200 RX 580s, and two RX 570s for $300; useful for post-mining stabilization/context.",Prices appear in value/comparison discussion rather than a formal market-tracking table; RX 570 value is per-card inference from explicit two-card $300 statement.
